datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement;Geo Point;Geo Shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi
2025-11-04T17:24:00+01:00;46056_G;23;4;32;heavy;1;48.09577425436933, -1.6512370618721703;"{""coordinates"": [[-1.651082065705591, 48.09569453626336], [-1.651392058038749, 48.09585397247532]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4451;4451;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46057_D;50;4;0;unknown;0;48.09545007974346, -1.6509579586452119;"{""coordinates"": [[-1.651187733408744, 48.09561333780072], [-1.651103490182278, 48.09555759649368], [-1.650730522065823, 48.095283470401306]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4450;4450;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46057_G;5;41;30;congested;1;48.09552487697741, -1.6508417754253657;"{""coordinates"": [[-1.650611446893237, 48.09535617477714], [-1.650985838881621, 48.09563134784598], [-1.650988766818115, 48.095633389574466], [-1.65107451400522, 48.09569012609736]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4453;4453;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46058_D;50;7;0;unknown;0;48.09438341614515, -1.6495746175204902;"{""coordinates"": [[-1.650013138150711, 48.09471438718548], [-1.649136096890269, 48.09405244510481]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4452;4452;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46058_G;28;12;30;heavy;1;48.094455063118126, -1.6494541246993597;"{""coordinates"": [[-1.649015604232958, 48.09412409162348], [-1.649892645165761, 48.094786034612774]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3927;3927;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46059_D;50;12;0;unknown;0;48.09350099099759, -1.6484301380140727;"{""coordinates"": [[-1.649136996949477, 48.0940531361781], [-1.647723279078668, 48.092948845817084]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3926;3926;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46059_G;34;17;30;heavy;1;48.09357125462546, -1.6483078455844666;"{""coordinates"": [[-1.647600986994794, 48.093019108701675], [-1.649014704174139, 48.09412340054925]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3929;3929;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46079_D;50;6;0;unknown;0;48.095000197401696, -1.650373483022262;"{""coordinates"": [[-1.650732529530293, 48.09528500305655], [-1.650014436514231, 48.09471539174682]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3931;3931;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46079_G;28;11;30;heavy;1;48.095069836084946, -1.6502503931162114;"{""coordinates"": [[-1.64989134680283, 48.09478503005009], [-1.650609439429592, 48.095354642119794]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3930;3930;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46080_D;50;9;0;unknown;0;48.09249630059824, -1.6471438095199837;"{""coordinates"": [[-1.647723292070582, 48.092948855960266], [-1.647619238228334, 48.09286753360836], [-1.64656429499433, 48.09204378616728]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3933;3933;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46080_G;25;19;27;heavy;1;48.09256656111522, -1.6470215154436207;"{""coordinates"": [[-1.6464420249186, 48.092114064591016], [-1.647496955775533, 48.09293780388947], [-1.647600974002885, 48.09301909855848]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3932;3932;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
